Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1209.4	30.000	3.0631	0.32647	69.215	79.009	128.82	37.003	48.092	830.62	1.2503	47.202	0.15367	supercritical
1211.6	30.000	3.0565	0.32717	69.300	79.115	128.91	37.020	48.091	831.45	1.2437	47.279	0.15400	supercritical
1213.9	30.000	3.0499	0.32788	69.385	79.222	129.00	37.038	48.090	832.28	1.2371	47.356	0.15434	supercritical
1216.1	30.000	3.0433	0.32859	69.471	79.328	129.09	37.055	48.089	833.11	1.2306	47.432	0.15468	supercritical
1218.3	30.000	3.0368	0.32929	69.556	79.435	129.18	37.073	48.088	833.93	1.2241	47.509	0.15502	supercritical
1220.5	30.000	3.0303	0.33000	69.641	79.541	129.26	37.090	48.088	834.76	1.2176	47.586	0.15536	supercritical
1222.7	30.000	3.0239	0.33070	69.727	79.648	129.35	37.108	48.088	835.58	1.2112	47.662	0.15570	supercritical
1224.9	30.000	3.0175	0.33140	69.812	79.754	129.44	37.125	48.088	836.40	1.2048	47.739	0.15604	supercritical
1227.1	30.000	3.0111	0.33211	69.897	79.860	129.52	37.143	48.089	837.22	1.1984	47.815	0.15638	supercritical
1229.3	30.000	3.0047	0.33281	69.983	79.967	129.61	37.161	48.089	838.03	1.1921	47.892	0.15672	supercritical
1231.6	30.000	2.9984	0.33351	70.068	80.073	129.70	37.178	48.090	838.85	1.1858	47.968	0.15706	supercritical
1233.8	30.000	2.9921	0.33421	70.153	80.180	129.78	37.196	48.091	839.66	1.1796	48.045	0.15740	supercritical
1236.0	30.000	2.9858	0.33492	70.239	80.286	129.87	37.214	48.092	840.47	1.1734	48.121	0.15774	supercritical
1238.2	30.000	2.9796	0.33562	70.324	80.393	129.96	37.232	48.094	841.28	1.1673	48.197	0.15808	supercritical
1240.4	30.000	2.9734	0.33632	70.410	80.499	130.04	37.250	48.095	842.09	1.1611	48.274	0.15842	supercritical
1242.6	30.000	2.9672	0.33702	70.495	80.606	130.13	37.268	48.097	842.90	1.1551	48.350	0.15876	supercritical
1244.8	30.000	2.9611	0.33771	70.581	80.712	130.21	37.286	48.099	843.71	1.1490	48.426	0.15910	supercritical
1247.1	30.000	2.9550	0.33841	70.666	80.818	130.30	37.304	48.101	844.51	1.1430	48.503	0.15945	supercritical
1249.3	30.000	2.9489	0.33911	70.752	80.925	130.38	37.322	48.104	845.31	1.1370	48.579	0.15979	supercritical
1251.5	30.000	2.9428	0.33981	70.837	81.031	130.47	37.340	48.106	846.12	1.1311	48.655	0.16013	supercritical
1253.7	30.000	2.9368	0.34051	70.923	81.138	130.55	37.358	48.109	846.92	1.1252	48.731	0.16047	supercritical
1255.9	30.000	2.9308	0.34120	71.008	81.244	130.64	37.377	48.112	847.71	1.1193	48.807	0.16081	supercritical
1258.1	30.000	2.9248	0.34190	71.094	81.351	130.72	37.395	48.115	848.51	1.1135	48.883	0.16116	supercritical
