Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
60.845.595;13.760.637;34.713.062;0.028807600;27.735.346;28.131.757;65.005.405;55.179.111;13.804.808;69.224.656;0.58901154;72.290.968;0.49144971;0.0065882202;liquid
60.907.918;13.869.881;34.608.210;0.028894878;27.808.381;28.209.150;65.127.358;55.209.568;13.921.170;68.783.669;0.59995719;72.035.013;0.49020786;0.0064590685;liquid
60.970.240;13.979.817;34.502.351;0.028983532;27.881.791;28.286.975;65.249.848;55.241.690;14.041.404;68.339.752;0.61115924;71.777.858;0.48895945;0.0063303087;liquid
61.032.563;14.090.450;34.395.456;0.029073608;27.955.585;28.365.245;65.372.891;55.275.547;14.165.720;67.892.811;0.62262764;71.519.451;0.48770444;0.0062019488;liquid
61.094.886;14.201.784;34.287.498;0.029165149;28.029.774;28.443.971;65.496.507;55.311.217;14.294.343;67.442.744;0.63437288;71.259.737;0.48644281;0.0060739970;liquid
61.157.208;14.313.824;34.178.445;0.029258206;28.104.370;28.523.167;65.620.713;55.348.779;14.427.516;66.989.446;0.64640610;70.998.659;0.48517453;0.0059464617;liquid
61.219.531;14.426.574;34.068.266;0.029352830;28.179.384;28.602.844;65.745.530;55.388.323;14.565.504;66.532.804;0.65873907;70.736.157;0.48389960;0.0058193515;liquid
61.281.854;14.540.038;33.956.926;0.029449073;28.254.828;28.683.019;65.870.979;55.429.942;14.708.590;66.072.699;0.67138428;70.472.167;0.48261801;0.0056926755;liquid
61.344.176;14.654.222;33.844.391;0.029546993;28.330.717;28.763.705;65.997.083;55.473.735;14.857.080;65.609.005;0.68435495;70.206.623;0.48132977;0.0055664426;liquid
61.406.499;14.769.129;33.730.623;0.029646651;28.407.063;28.844.918;66.123.864;55.519.812;15.011.307;65.141.585;0.69766515;69.939.454;0.48003489;0.0054406625;liquid
61.468.822;14.884.765;33.615.581;0.029748110;28.483.881;28.926.675;66.251.347;55.568.289;15.171.632;64.670.300;0.71132979;69.670.586;0.47873340;0.0053153449;liquid
61.531.144;15.001.133;33.499.225;0.029851437;28.561.188;29.008.994;66.379.560;55.619.290;15.338.446;64.194.999;0.72536471;69.399.941;0.47742536;0.0051904997;liquid
61.593.467;15.118.239;33.381.509;0.029956705;28.638.999;29.091.892;66.508.529;55.672.953;15.512.173;63.715.523;0.73978675;69.127.434;0.47611082;0.0050661375;liquid
61.655.790;15.236.089;33.262.386;0.030063989;28.717.332;29.175.390;66.638.284;55.729.424;15.693.277;63.231.704;0.75461382;68.852.978;0.47478986;0.0049422689;liquid
61.718.112;15.354.685;33.141.806;0.030173371;28.796.205;29.259.508;66.768.856;55.788.861;15.882.262;62.743.368;0.76986496;68.576.480;0.47346259;0.0048189051;liquid
61.780.435;15.474.035;33.019.715;0.030284937;28.875.638;29.344.268;66.900.279;55.851.438;16.079.677;62.250.328;0.78556043;68.297.839;0.47212915;0.0046960575;liquid
61.842.758;15.594.142;32.896.057;0.030398780;28.955.652;29.429.695;67.032.588;55.917.341;16.286.123;61.752.389;0.80172182;68.016.951;0.47078970;0.0045737380;liquid
61.905.080;15.715.012;32.770.771;0.030514998;29.036.268;29.515.812;67.165.820;55.986.774;16.502.257;61.249.348;0.81837206;67.733.702;0.46944443;0.0044519589;liquid
61.967.403;15.836.650;32.643.792;0.030633696;29.117.511;29.602.646;67.300.015;56.059.961;16.728.800;60.740.989;0.83553563;67.447.974;0.46809358;0.0043307330;liquid
62.029.726;15.959.062;32.515.051;0.030754987;29.199.406;29.690.226;67.435.216;56.137.143;16.966.541;60.227.091;0.85323853;67.159.639;0.46673744;0.0042100735;liquid
62.092.048;16.082.253;32.384.476;0.030878993;29.281.978;29.778.582;67.571.468;56.218.586;17.216.347;59.707.419;0.87150850;66.868.562;0.46537636;0.0040899942;liquid
62.154.371;16.206.228;32.251.987;0.031005842;29.365.258;29.867.746;67.708.821;56.304.582;17.479.171;59.181.733;0.89037504;66.574.597;0.46401072;0.0039705093;liquid
62.216.694;16.330.993;32.117.500;0.031135674;29.449.276;29.957.753;67.847.325;56.395.447;17.756.065;58.649.781;0.90986955;66.277.591;0.46264101;0.0038516339;liquid
62.279.016;16.456.554;31.980.925;0.031268639;29.534.064;30.048.638;67.987.038;56.491.533;18.048.186;58.111.306;0.93002546;65.977.379;0.46126779;0.0037333833;liquid
62.341.339;16.582.917;31.842.165;0.031404900;29.619.658;30.140.443;68.128.017;56.593.224;18.356.815;57.566.041;0.95087831;65.673.784;0.45989170;0.0036157738;liquid
62.403.662;16.710.087;31.701.117;0.031544630;29.706.094;30.233.208;68.270.328;56.700.943;18.683.366;57.013.716;0.97246587;65.366.619;0.45851350;0.0034988223;liquid
62.465.984;16.838.070;31.557.669;0.031688018;29.793.414;30.326.979;68.414.038;56.815.158;19.029.407;56.454.055;0.99482825;65.055.683;0.45713410;0.0033825463;liquid
62.528.307;16.966.873;31.411.703;0.031835268;29.881.661;30.421.805;68.559.220;56.936.384;19.396.677;55.886.779;10.180.080;64.740.762;0.45575451;0.0032669644;liquid
62.590.630;17.096.502;31.263.091;0.031986600;29.970.879;30.517.738;68.705.955;57.065.189;19.787.110;55.311.611;10.420.503;64.421.627;0.45437595;0.0031520959;liquid
62.652.952;17.226.963;31.111.695;0.032142253;30.061.121;30.614.834;68.854.325;57.202.203;20.202.854;54.728.275;10.670.027;64.098.034;0.45299982;0.0030379611;liquid
62.715.275;17.358.263;30.957.369;0.032302487;30.152.437;30.713.152;69.004.423;57.348.121;20.646.308;54.136.506;10.929.157;63.769.723;0.45162774;0.0029245814;liquid
62.777.598;17.490.408;30.799.954;0.032467581;30.244.887;30.812.758;69.156.346;57.503.713;21.120.146;53.536.046;11.198.424;63.436.416;0.45026158;0.0028119792;liquid
62.839.920;17.623.405;30.639.281;0.032637842;30.338.530;30.913.720;69.310.198;57.669.831;21.627.362;52.926.659;11.478.386;63.097.818;0.44890353;0.0027001781;liquid
62.902.243;17.757.262;30.475.167;0.032813602;30.433.434;31.016.114;69.466.093;57.847.417;22.171.309;52.308.131;11.769.627;62.753.614;0.44755609;0.0025892033;liquid
62.964.566;17.891.984;30.307.418;0.032995222;30.529.668;31.120.018;69.624.152;58.037.512;22.755.755;51.680.283;12.072.759;62.403.472;0.44622217;0.0024790811;liquid
63.026.888;18.027.580;30.135.826;0.033183095;30.627.310;31.225.521;69.784.505;58.241.265;23.384.942;51.042.980;12.388.416;62.047.038;0.44490511;0.0023698396;liquid
63.089.211;18.164.057;29.960.167;0.033377651;30.726.440;31.332.713;69.947.292;58.459.943;24.063.658;50.396.141;12.717.258;61.683.938;0.44360875;0.0022615086;liquid
63.151.534;18.301.423;29.780.203;0.033579354;30.827.146;31.441.696;70.112.665;58.694.935;24.797.331;49.739.757;13.059.963;61.313.780;0.44233750;0.0021541199;liquid
63.213.856;18.439.686;29.595.680;0.033788715;30.929.522;31.552.575;70.280.784;58.947.763;25.592.144;49.073.899;13.417.229;60.936.147;0.44109644;0.0020477073;liquid
63.276.179;18.578.856;29.406.325;0.034006290;31.033.669;31.665.467;70.451.824;59.220.087;26.455.174;48.398.745;13.789.768;60.550.605;0.43989139;0.0019423070;liquid
63.338.502;18.718.940;29.211.849;0.034232684;31.139.697;31.780.496;70.625.973;59.513.701;27.394.591;47.714.586;14.178.307;60.156.697;0.43872902;0.0018379581;liquid
63.400.824;18.859.948;29.011.943;0.034468564;31.247.722;31.897.797;70.803.435;59.830.537;28.419.915;47.021.850;14.583.592;59.753.943;0.43761707;0.0017347025;liquid
63.463.147;19.001.891;28.806.275;0.034714659;31.357.872;32.017.516;70.984.431;60.172.654;29.542.383;46.321.108;15.006.389;59.341.841;0.43656448;0.0016325855;liquid
63.525.470;19.144.780;28.594.489;0.034971774;31.470.287;32.139.814;71.169.202;60.542.228;30.775.470;45.613.077;15.447.503;58.919.856;0.43558178;0.0015316562;liquid
63.587.792;19.288.625;28.376.196;0.035240805;31.585.121;32.264.868;71.358.016;60.941.540;32.135.648;44.898.609;15.907.806;58.487.420;0.43468153;0.0014319683;liquid
63.650.115;19.433.441;28.150.967;0.035522758;31.702.547;32.392.877;71.551.174;61.372.961;33.643.507;44.178.649;16.388.288;58.043.912;0.43387906;0.0013335803;liquid
63.712.438;19.579.241;27.918.317;0.035818779;31.822.765;32.524.069;71.749.020;61.838.961;35.325.437;43.454.166;16.890.134;57.588.640;0.43319362;0.0012365568;liquid
63.774.760;19.726.041;27.677.680;0.036130196;31.946.007;32.658.712;71.951.961;62.342.140;37.216.143;42.726.024;17.414.855;57.120.800;0.43265000;0.0011409691;liquid
63.837.083;19.873.858;27.428.376;0.036458594;32.072.556;32.797.129;72.160.487;62.885.329;39.362.468;41.994.795;17.964.458;56.639.428;0.43228113;0.0010468966;liquid
63.899.406;20.022.710;27.169.554;0.036805904;32.202.765;32.939.719;72.375.206;63.471.813;41.829.225;41.260.483;18.541.699;56.143.319;0.43213164;0.00095442845;liquid
63.961.728;20.172.618;26.900.115;0.037174562;32.337.087;33.086.995;72.596.901;64.105.740;44.708.246;40.522.152;19.150.418;55.630.910;0.43226325;0.00086366548;liquid
64.024.051;20.323.606;26.618.594;0.037567724;32.476.116;33.239.628;72.826.598;64.792.872;48.132.721;39.777.431;19.795.971;55.100.132;0.43276228;0.00077472284;liquid
64.086.374;20.475.699;26.322.988;0.037989608;32.620.653;33.398.517;73.065.678;65.541.848;52.300.734;39.021.874;20.485.802;54.548.183;0.43375088;0.00068773356;liquid
64.148.696;20.628.925;26.010.509;0.038446000;32.771.798;33.564.898;73.316.038;66.366.344;57.515.562;38.248.102;21.230.196;53.971.240;0.43540366;0.00060285340;liquid
64.211.019;20.783.311;25.677.199;0.038945058;32.931.091;33.740.498;73.580.336;67.288.758;64.258.537;37.444.629;22.043.320;53.364.040;0.43797423;0.00052026773;liquid
64.273.342;20.938.890;25.317.337;0.039498625;33.100.733;33.927.791;73.862.378;68.346.715;73.329.249;36.594.142;22.944.762;52.719.307;0.44183961;0.00044020156;liquid
64.335.664;21.095.691;24.922.463;0.040124445;33.283.954;34.130.407;74.167.758;69.605.073;86.135.815;35.670.856;23.961.929;52.026.917;0.44758073;0.00036293497;liquid
64.397.987;21.253.742;24.479.712;0.040850154;33.485.635;34.353.853;74.504.962;71.179.258;10.535.065;34.636.459;25.133.895;51.272.677;0.45614189;0.00028882807;liquid
64.460.310;21.413.068;23.968.879;0.041720766;33.713.432;34.606.802;74.887.351;73.282.959;13.656.596;33.434.534;26.517.335;50.436.540;0.46918648;0.00021836472;liquid
64.522.632;21.573.687;23.357.057;0.042813613;33.979.878;34.903.526;75.336.921;76.329.460;19.319.804;31.986.473;28.193.672;49.490.218;0.49004745;0.00015223736;liquid
64.584.955;21.735.618;22.587.615;0.044272048;34.306.970;35.269.251;75.892.540;81.159.969;31.589.728;30.202.102;30.269.752;48.396.396;0.52723490;9,15E+02;liquid
64.647.278;21.898.932;21.536.118;0.046433625;34.745.138;35.761.985;76.643.632;89.846.860;71.952.209;28.001.997;32.867.480;47.132.491;0.61749590;3,84E+02;liquid
