Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
53.990.101;52.287.094;42.897.964;0.023311130;20.934.186;21.056.073;53.085.978;56.093.593;91.438.627;10.750.938;0.056661794;98.935.081;0.59780911;0.022100379;liquid
54.052.424;52.804.939;42.841.373;0.023341923;20.989.579;21.112.836;53.188.817;56.067.244;91.598.465;10.722.496;0.058813320;98.674.495;0.59705377;0.021953847;liquid
54.114.747;53.326.693;42.784.570;0.023372912;21.045.046;21.169.686;53.291.680;56.041.078;91.760.145;10.693.963;0.060987467;98.414.705;0.59629512;0.021807339;liquid
54.177.069;53.852.375;42.727.553;0.023404102;21.100.588;21.226.625;53.394.567;56.015.098;91.923.698;10.665.338;0.063184577;98.155.698;0.59553315;0.021660858;liquid
54.239.392;54.382.006;42.670.321;0.023435493;21.156.205;21.283.652;53.497.479;55.989.305;92.089.156;10.636.621;0.065405002;97.897.462;0.59476785;0.021514405;liquid
54.301.715;54.915.606;42.612.871;0.023467088;21.211.898;21.340.769;53.600.419;55.963.700;92.256.551;10.607.811;0.067649099;97.639.986;0.59399922;0.021367982;liquid
54.364.037;55.453.196;42.555.203;0.023498889;21.267.668;21.397.977;53.703.387;55.938.286;92.425.918;10.578.909;0.069917233;97.383.256;0.59322724;0.021221590;liquid
54.426.360;55.994.796;42.497.313;0.023530899;21.323.516;21.455.277;53.806.385;55.913.065;92.597.290;10.549.913;0.072209778;97.127.261;0.59245191;0.021075231;liquid
54.488.683;56.540.427;42.439.200;0.023563121;21.379.442;21.512.669;53.909.414;55.888.038;92.770.702;10.520.824;0.074527114;96.871.987;0.59167322;0.020928907;liquid
54.551.005;57.090.109;42.380.863;0.023595556;21.435.447;21.570.154;54.012.476;55.863.207;92.946.190;10.491.640;0.076869629;96.617.425;0.59089116;0.020782618;liquid
54.613.328;57.643.864;42.322.298;0.023628207;21.491.532;21.627.734;54.115.572;55.838.575;93.123.792;10.462.362;0.079237719;96.363.560;0.59010573;0.020636367;liquid
54.675.651;58.201.711;42.263.504;0.023661076;21.547.697;21.685.409;54.218.704;55.814.143;93.303.545;10.432.989;0.081631789;96.110.381;0.58931692;0.020490156;liquid
54.737.973;58.763.672;42.204.480;0.023694167;21.603.944;21.743.180;54.321.873;55.789.913;93.485.488;10.403.520;0.084052253;95.857.876;0.58852472;0.020343986;liquid
54.800.296;59.329.767;42.145.222;0.023727482;21.660.273;21.801.048;54.425.081;55.765.888;93.669.660;10.373.955;0.086499531;95.606.032;0.58772911;0.020197858;liquid
54.862.619;59.900.019;42.085.729;0.023761024;21.716.686;21.859.014;54.528.329;55.742.069;93.856.102;10.344.293;0.088974056;95.354.839;0.58693010;0.020051775;liquid
