Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Phase
31.242.328;0.0071035544;0.0027421756;36.467.395;43.748.581;46.339.062;14.897.314;26.202.923;34.776.496;43.623.291;19.204.843;10.160.995;0.019455850;vapor
31.304.651;0.0073442875;0.0028296293;35.340.318;43.763.650;46.359.145;14.876.103;26.214.607;34.792.411;43.664.423;18.919.885;10.181.444;0.019501719;vapor
31.366.973;0.0075920327;0.0029194460;34.253.074;43.778.709;46.379.214;14.855.001;26.226.365;34.808.460;43.705.484;18.641.085;10.201.921;0.019547695;vapor
31.429.296;0.0078469580;0.0030116769;33.204.093;43.793.759;46.399.270;14.834.009;26.238.198;34.824.645;43.746.473;18.368.291;10.222.424;0.019593779;vapor
31.491.619;0.0081092345;0.0031063740;32.191.874;43.808.799;46.419.313;14.813.125;26.250.110;34.840.970;43.787.389;18.101.355;10.242.953;0.019639972;vapor
31.553.941;0.0083790362;0.0032035901;31.214.979;43.823.828;46.439.343;14.792.349;26.262.101;34.857.437;43.828.232;17.840.133;10.263.507;0.019686274;vapor
31.616.264;0.0086565405;0.0033033791;30.272.033;43.838.847;46.459.358;14.771.679;26.274.175;34.874.050;43.869.002;17.584.485;10.284.088;0.019732685;vapor
31.678.587;0.0089419276;0.0034057952;29.361.718;43.853.856;46.479.360;14.751.115;26.286.333;34.890.812;43.909.698;17.334.271;10.304.693;0.019779208;vapor
31.740.909;0.0092353811;0.0035108939;28.482.775;43.868.855;46.499.347;14.730.657;26.298.578;34.907.726;43.950.320;17.089.360;10.325.323;0.019825841;vapor
31.803.232;0.0095370877;0.0036187312;27.633.995;43.883.842;46.519.321;14.710.304;26.310.911;34.924.796;43.990.867;16.849.618;10.345.977;0.019872587;vapor
31.865.555;0.0098472375;0.0037293641;26.814.223;43.898.819;46.539.279;14.690.054;26.323.337;34.942.025;44.031.339;16.614.920;10.366.655;0.019919446;vapor
31.927.877;0.010166024;0.0038428504;26.022.350;43.913.785;46.559.223;14.669.907;26.335.855;34.959.415;44.071.735;16.385.141;10.387.357;0.019966418;vapor
31.990.200;0.010493643;0.0039592488;25.257.317;43.928.740;46.579.152;14.649.863;26.348.470;34.976.971;44.112.055;16.160.158;10.408.083;0.020013505;vapor
32.052.523;0.010830295;0.0040786187;24.518.104;43.943.683;46.599.066;14.629.921;26.361.182;34.994.696;44.152.298;15.939.854;10.428.831;0.020060707;vapor
32.114.845;0.011176183;0.0042010206;23.803.740;43.958.615;46.618.964;14.610.079;26.373.996;35.012.593;44.192.464;15.724.114;10.449.602;0.020108025;vapor
32.177.168;0.011531514;0.0043265155;23.113.288;43.973.535;46.638.847;14.590.338;26.386.911;35.030.666;44.232.553;15.512.825;10.470.395;0.020155460;vapor
32.239.491;0.011896497;0.0044551657;22.445.854;43.988.444;46.658.714;14.570.696;26.399.932;35.048.917;44.272.563;15.305.877;10.491.210;0.020203013;vapor
32.301.813;0.012271347;0.0045870341;21.800.579;44.003.341;46.678.566;14.551.154;26.413.061;35.067.351;44.312.495;15.103.163;10.512.046;0.020250685;vapor
32.364.136;0.012656281;0.0047221845;21.176.640;44.018.226;46.698.401;14.531.709;26.426.299;35.085.970;44.352.348;14.904.580;10.532.904;0.020298475;vapor
32.426.459;0.013051519;0.0048606817;20.573.246;44.033.098;46.718.219;14.512.362;26.439.649;35.104.778;44.392.120;14.710.025;10.553.783;0.020346386;vapor
32.488.781;0.013457285;0.0050025913;19.989.640;44.047.958;46.738.021;14.493.112;26.453.113;35.123.779;44.431.813;14.519.401;10.574.682;0.020394419;vapor
32.551.104;0.013873807;0.0051479797;19.425.096;44.062.806;46.757.806;14.473.958;26.466.694;35.142.976;44.471.425;14.332.610;10.595.601;0.020442573;vapor
32.613.427;0.014301316;0.0052969145;18.878.915;44.077.641;46.777.574;14.454.899;26.480.394;35.162.372;44.510.956;14.149.559;10.616.541;0.020490851;vapor
32.675.749;0.014740048;0.0054494640;18.350.429;44.092.463;46.797.325;14.435.936;26.494.216;35.181.971;44.550.406;13.970.157;10.637.500;0.020539252;vapor
32.738.072;0.015190241;0.0056056974;17.838.994;44.107.272;46.817.058;14.417.066;26.508.161;35.201.776;44.589.773;13.794.313;10.658.478;0.020587778;vapor
32.800.395;0.015652137;0.0057656848;17.343.993;44.122.068;46.836.774;14.398.290;26.522.232;35.221.791;44.629.057;13.621.942;10.679.475;0.020636430;vapor
32.862.717;0.016125983;0.0059294975;16.864.836;44.136.851;46.856.471;14.379.607;26.536.431;35.242.020;44.668.258;13.452.960;10.700.490;0.020685208;vapor
32.925.040;0.016612029;0.0060972072;16.400.951;44.151.620;46.876.151;14.361.015;26.550.761;35.262.465;44.707.376;13.287.283;10.721.524;0.020734115;vapor
32.987.363;0.017110528;0.0062688871;15.951.795;44.166.375;46.895.811;14.342.516;26.565.224;35.283.130;44.746.409;13.124.831;10.742.576;0.020783150;vapor
33.049.685;0.017621739;0.0064446110;15.516.840;44.181.117;46.915.454;14.324.107;26.579.822;35.304.019;44.785.357;12.965.527;10.763.646;0.020832314;vapor
33.112.008;0.018145922;0.0066244538;15.095.584;44.195.844;46.935.077;14.305.789;26.594.558;35.325.136;44.824.220;12.809.295;10.784.733;0.020881609;vapor
33.174.331;0.018683343;0.0068084911;14.687.542;44.210.558;46.954.682;14.287.560;26.609.434;35.346.483;44.862.998;12.656.060;10.805.837;0.020931036;vapor
33.236.653;0.019234271;0.0069967998;14.292.248;44.225.257;46.974.267;14.269.421;26.624.451;35.368.065;44.901.688;12.505.750;10.826.958;0.020980596;vapor
33.298.976;0.019798980;0.0071894576;13.909.255;44.239.941;46.993.832;14.251.369;26.639.613;35.389.884;44.940.292;12.358.296;10.848.095;0.021030289;vapor
33.361.299;0.020377746;0.0073865431;13.538.133;44.254.611;47.013.378;14.233.406;26.654.922;35.411.945;44.978.809;12.213.629;10.869.248;0.021080117;vapor
33.423.621;0.020970852;0.0075881359;13.178.467;44.269.266;47.032.903;14.215.529;26.670.381;35.434.251;45.017.238;12.071.682;10.890.417;0.021130081;vapor
33.485.944;0.021578583;0.0077943166;12.829.861;44.283.906;47.052.409;14.197.740;26.685.990;35.456.805;45.055.578;11.932.391;10.911.602;0.021180181;vapor
33.548.267;0.022201227;0.0080051668;12.491.932;44.298.531;47.071.893;14.180.036;26.701.753;35.479.611;45.093.829;11.795.692;10.932.801;0.021230420;vapor
33.610.589;0.022839079;0.0082207691;12.164.312;44.313.141;47.091.357;14.162.417;26.717.672;35.502.673;45.131.991;11.661.524;10.954.016;0.021280798;vapor
33.672.912;0.023492436;0.0084412070;11.846.647;44.327.734;47.110.800;14.144.884;26.733.749;35.525.994;45.170.063;11.529.828;10.975.246;0.021331315;vapor
33.735.235;0.024161600;0.0086665651;11.538.597;44.342.312;47.130.222;14.127.434;26.749.987;35.549.578;45.208.044;11.400.545;10.996.489;0.021381974;vapor
33.797.557;0.024846877;0.0088969288;11.239.834;44.356.874;47.149.622;14.110.069;26.766.387;35.573.428;45.245.934;11.273.618;11.017.747;0.021432775;vapor
33.859.880;0.025548578;0.0091323847;10.950.042;44.371.420;47.169.001;14.092.786;26.782.953;35.597.549;45.283.732;11.148.993;11.039.019;0.021483720;vapor
33.922.203;0.026267016;0.0093730204;10.668.919;44.385.950;47.188.357;14.075.585;26.799.685;35.621.943;45.321.438;11.026.615;11.060.304;0.021534809;vapor
33.984.525;0.027002511;0.0096189244;10.396.173;44.400.463;47.207.691;14.058.467;26.816.588;35.646.614;45.359.051;10.906.432;11.081.602;0.021586044;vapor
34.046.848;0.027755386;0.0098701862;10.131.521;44.414.960;47.227.003;14.041.429;26.833.662;35.671.566;45.396.572;10.788.394;11.102.913;0.021637426;vapor
34.109.171;0.028525968;0.010126896;98.746.936;44.429.440;47.246.292;14.024.473;26.850.910;35.696.803;45.433.998;10.672.450;11.124.237;0.021688956;vapor
34.171.493;0.029314588;0.010389147;96.254.295;44.443.902;47.265.557;14.007.596;26.868.335;35.722.328;45.471.330;10.558.553;11.145.573;0.021740635;vapor
34.233.816;0.030121584;0.010657030;93.834.776;44.458.348;47.284.800;13.990.800;26.885.939;35.748.144;45.508.567;10.446.655;11.166.921;0.021792464;vapor
34.296.139;0.030947296;0.010930639;91.485.959;44.472.776;47.304.019;13.974.082;26.903.723;35.774.257;45.545.709;10.336.710;11.188.282;0.021844445;vapor
34.358.461;0.031792068;0.011210069;89.205.514;44.487.186;47.323.214;13.957.443;26.921.691;35.800.669;45.582.755;10.228.674;11.209.653;0.021896579;vapor
34.420.784;0.032656251;0.011495416;86.991.194;44.501.579;47.342.385;13.940.881;26.939.844;35.827.383;45.619.704;10.122.504;11.231.036;0.021948867;vapor
34.483.107;0.033540197;0.011786777;84.840.835;44.515.953;47.361.532;13.924.397;26.958.185;35.854.405;45.656.556;10.018.157;11.252.430;0.022001310;vapor
34.545.429;0.034444267;0.012084249;82.752.351;44.530.310;47.380.654;13.907.990;26.976.716;35.881.737;45.693.311;99.155.921;11.273.835;0.022053910;vapor
34.607.752;0.035368822;0.012387931;80.723.730;44.544.648;47.399.751;13.891.660;26.995.439;35.909.383;45.729.968;98.147.689;11.295.250;0.022106667;vapor
34.670.075;0.036314230;0.012697923;78.753.035;44.558.967;47.418.823;13.875.405;27.014.357;35.937.348;45.766.526;97.156.484;11.316.676;0.022159584;vapor
34.732.397;0.037280863;0.013014327;76.838.397;44.573.268;47.437.869;13.859.225;27.033.472;35.965.634;45.802.984;96.181.926;11.338.111;0.022212660;vapor
34.794.720;0.038269099;0.013337243;74.978.014;44.587.549;47.456.890;13.843.120;27.052.786;35.994.246;45.839.343;95.223.644;11.359.556;0.022265899;vapor
34.857.043;0.039279319;0.013666776;73.170.147;44.601.812;47.475.885;13.827.089;27.072.301;36.023.188;45.875.602;94.281.275;11.381.011;0.022319299;vapor
34.919.365;0.040311908;0.014003029;71.413.120;44.616.055;47.494.854;13.811.132;27.092.021;36.052.463;45.911.760;93.354.468;11.402.475;0.022372865;vapor
34.981.688;0.041367258;0.014346108;69.705.316;44.630.278;47.513.796;13.795.248;27.111.946;36.082.075;45.947.817;92.442.880;11.423.947;0.022426595;vapor
35.044.011;0.042445764;0.014696119;68.045.175;44.644.482;47.532.711;13.779.437;27.132.080;36.112.029;45.983.771;91.546.176;11.445.429;0.022480492;vapor
35.106.333;0.043547826;0.015053170;66.431.192;44.658.665;47.551.599;13.763.698;27.152.425;36.142.328;46.019.623;90.664.030;11.466.919;0.022534557;vapor
35.168.656;0.044673849;0.015417368;64.861.914;44.672.829;47.570.460;13.748.030;27.172.982;36.172.976;46.055.372;89.796.125;11.488.417;0.022588792;vapor
35.230.979;0.045824243;0.015788824;63.335.940;44.686.972;47.589.293;13.732.434;27.193.755;36.203.977;46.091.018;88.942.151;11.509.923;0.022643197;vapor
35.293.301;0.046999423;0.016167648;61.851.915;44.701.094;47.608.099;13.716.908;27.214.746;36.235.336;46.126.559;88.101.806;11.531.437;0.022697774;vapor
35.355.624;0.048199807;0.016553952;60.408.535;44.715.196;47.626.876;13.701.453;27.235.957;36.267.055;46.161.996;87.274.796;11.552.959;0.022752524;vapor
35.417.947;0.049425821;0.016947849;59.004.537;44.729.277;47.645.624;13.686.067;27.257.390;36.299.140;46.197.327;86.460.833;11.574.487;0.022807450;vapor
35.480.269;0.050677892;0.017349453;57.638.704;44.743.336;47.664.344;13.670.750;27.279.048;36.331.594;46.232.553;85.659.640;11.596.023;0.022862551;vapor
35.542.592;0.051956456;0.017758879;56.309.861;44.757.374;47.683.034;13.655.502;27.300.934;36.364.421;46.267.672;84.870.941;11.617.566;0.022917830;vapor
35.604.915;0.053261950;0.018176243;55.016.870;44.771.390;47.701.696;13.640.323;27.323.049;36.397.626;46.302.685;84.094.472;11.639.115;0.022973287;vapor
35.667.237;0.054594819;0.018601662;53.758.637;44.785.384;47.720.327;13.625.211;27.345.395;36.431.212;46.337.590;83.329.973;11.660.670;0.023028925;vapor
35.729.560;0.055955512;0.019035255;52.534.099;44.799.356;47.738.929;13.610.166;27.367.976;36.465.185;46.372.386;82.577.191;11.682.232;0.023084744;vapor
35.791.883;0.057344481;0.019477142;51.342.235;44.813.306;47.757.500;13.595.188;27.390.794;36.499.547;46.407.075;81.835.879;11.703.799;0.023140740;vapor
35.854.205;0.058762186;0.019927443;50.182.054;44.827.233;47.776.041;13.580.276;27.413.851;36.534.303;46.441.654;81.105.796;11.725.373;0.023196927;vapor
35.916.528;0.060209090;0.020386279;49.052.600;44.841.138;47.794.550;13.565.430;27.437.149;36.569.458;46.476.123;80.386.708;11.746.951;0.023253299;vapor
35.978.851;0.061685663;0.020853775;47.952.950;44.855.019;47.813.029;13.550.649;27.460.691;36.605.016;46.510.482;79.678.383;11.768.535;0.023309859;vapor
36.041.173;0.063192377;0.021330053;46.882.210;44.868.878;47.831.476;13.535.933;27.484.480;36.640.980;46.544.730;78.980.600;11.790.124;0.023366607;vapor
36.103.496;0.064729711;0.021815239;45.839.516;44.882.713;47.849.891;13.521.282;27.508.518;36.677.356;46.578.867;78.293.139;11.811.718;0.023423546;vapor
36.165.819;0.066298150;0.022309459;44.824.036;44.896.524;47.868.274;13.506.695;27.532.806;36.714.148;46.612.892;77.615.787;11.833.316;0.023480676;vapor
36.228.141;0.067898182;0.022812842;43.834.960;44.910.311;47.886.625;13.492.171;27.557.349;36.751.359;46.646.804;76.948.336;11.854.919;0.023537999;vapor
36.290.464;0.069530301;0.023325515;42.871.508;44.924.074;47.904.943;13.477.710;27.582.147;36.788.995;46.680.603;76.290.583;11.876.526;0.023595516;vapor
36.352.787;0.071195007;0.023847608;41.932.927;44.937.813;47.923.228;13.463.312;27.607.204;36.827.060;46.714.289;75.642.329;11.898.136;0.023653230;vapor
36.415.109;0.072892803;0.024379252;41.018.485;44.951.528;47.941.480;13.448.976;27.632.522;36.865.558;46.747.860;75.003.380;11.919.751;0.023711141;vapor
36.477.432;0.074624200;0.024920580;40.127.477;44.965.217;47.959.698;13.434.702;27.658.104;36.904.494;46.781.316;74.373.547;11.941.369;0.023769251;vapor
36.539.755;0.076389711;0.025471724;39.259.219;44.978.882;47.977.882;13.420.489;27.683.952;36.943.872;46.814.657;73.752.644;11.962.991;0.023827561;vapor
36.602.077;0.078189858;0.026032819;38.413.050;44.992.521;47.996.032;13.406.337;27.710.068;36.983.697;46.847.882;73.140.493;11.984.616;0.023886073;vapor
36.664.400;0.080025164;0.026604001;37.588.331;45.006.135;48.014.147;13.392.245;27.736.455;37.023.973;46.880.990;72.536.915;12.006.243;0.023944788;vapor
36.726.723;0.081896159;0.027185406;36.784.442;45.019.723;48.032.227;13.378.214;27.763.115;37.064.705;46.913.981;71.941.739;12.027.874;0.024003709;vapor
36.789.045;0.083803381;0.027777173;36.000.784;45.033.285;48.050.272;13.364.242;27.790.052;37.105.897;46.946.854;71.354.795;12.049.507;0.024062836;vapor
36.851.368;0.085747368;0.028379439;35.236.778;45.046.821;48.068.282;13.350.329;27.817.267;37.147.554;46.979.609;70.775.920;12.071.143;0.024122171;vapor
36.913.691;0.087728668;0.028992347;34.491.861;45.060.330;48.086.255;13.336.475;27.844.762;37.189.681;47.012.245;70.204.953;12.092.780;0.024181715;vapor
36.976.013;0.089747831;0.029616036;33.765.491;45.073.813;48.104.192;13.322.679;27.872.542;37.232.282;47.044.762;69.641.736;12.114.420;0.024241470;vapor
37.038.336;0.091805414;0.030250650;33.057.141;45.087.269;48.122.093;13.308.941;27.900.606;37.275.361;47.077.159;69.086.114;12.136.062;0.024301438;vapor
37.100.659;0.093901979;0.030896333;32.366.300;45.100.697;48.139.957;13.295.260;27.928.960;37.318.924;47.109.435;68.537.939;12.157.705;0.024361620;vapor
37.162.981;0.096038093;0.031553230;31.692.476;45.114.099;48.157.784;13.281.637;27.957.604;37.362.975;47.141.589;67.997.064;12.179.350;0.024422017;vapor
37.225.304;0.098214329;0.032221487;31.035.191;45.127.472;48.175.573;13.268.070;27.986.541;37.407.518;47.173.622;67.463.343;12.200.997;0.024482632;vapor
37.287.627;0.10043126;0.032901251;30.393.981;45.140.818;48.193.324;13.254.559;28.015.774;37.452.559;47.205.533;66.936.637;12.222.644;0.024543465;vapor
37.349.949;0.10268948;0.033592671;29.768.398;45.154.136;48.211.037;13.241.104;28.045.305;37.498.103;47.237.321;66.416.809;12.244.292;0.024604519;vapor
